hgnc_symbol	ensembl_canonical_transcript	genome_nexus_canonical_transcript	uniprot_canonical_transcript	mskcc_canonical_trancript
GUCY2F	ENSG00000101890	ENSG00000101890	ENST00000218006	ENST00000218006
UBXN7	ENST00000296328	ENST00000296328	ENST00000296328	ENST00000296328
MGLL	ENST00000265052	ENST00000265052	ENST00000398104	ENST00000398104
STRADB	ENST00000194530	ENST00000194530	ENST00000194530	ENST00000194530
RPS20P33	ENST00000605803	ENST00000605803	ENST00000605803	ENST00000605803
OR5B1P	ENSG00000233499	ENSG00000233499	ENSG00000233499	ENSG00000233499
LINC00686	ENSG00000237687	ENSG00000237687	ENSG00000237687	ENSG00000237687
NBEA	ENST00000400445	ENST00000400445	ENST00000400445	ENST00000400445
LLPHP2				
OR2AP1	ENSG00000179615	ENSG00000179615	ENST00000321688	ENST00000321688
DMD-AS2				
ACRC	ENST00000373695	ENST00000373695	ENST00000373695	ENST00000373695
TRN-ATT1-1				
PTTG1	ENST00000393964	ENST00000393964	ENST00000352433	ENST00000352433
RNU6-549P	ENSG00000207162	ENSG00000207162	ENSG00000207162	ENSG00000207162
RAB28P1				
LINC01155	ENST00000597257	ENST00000597257	ENST00000597257	ENST00000597257
MAMDC2	ENST00000377182	ENST00000377182	ENST00000377182	ENST00000377182
LINC01461				
TERB1			ENST00000433154	ENST00000433154
RNU7-200P	ENSG00000251914	ENSG00000251914	ENSG00000251914	ENSG00000251914
OLFML3	ENST00000320334	ENST00000320334	ENST00000320334	ENST00000320334
SAPCD1	ENST00000449857	ENST00000449857	ENST00000425424	ENST00000425424
MIR20B	ENSG00000207710	ENSG00000207710	ENSG00000207710	ENSG00000207710
RNU6-1327P	ENSG00000202172	ENSG00000202172	ENSG00000202172	ENSG00000202172
MUT	ENSG00000146085	ENSG00000146085	ENST00000274813	ENST00000274813
MIR373	ENSG00000199143	ENSG00000199143	ENSG00000199143	ENSG00000199143
HSPE1P9	ENSG00000232690	ENSG00000232690	ENSG00000232690	ENSG00000232690
ATP5F1	ENST00000369722	ENST00000369722	ENST00000369722	ENST00000369722
SNX16	ENST00000396330	ENST00000396330	ENST00000345957	ENST00000345957
MIR5702	ENSG00000263363	ENSG00000263363	ENSG00000263363	ENSG00000263363
MSK10				
UCKL1	ENST00000354216	ENST00000354216	ENST00000354216	ENST00000354216
PGM5P4				
EIF2AP3				
TSPAN9-IT1	ENSG00000256197	ENSG00000256197	ENSG00000256197	ENSG00000256197
CA4	ENST00000300900	ENST00000300900	ENST00000300900	ENST00000300900
NCOA2	ENST00000452400	ENST00000452400	ENST00000452400	ENST00000452400
GSTA9P				
C19orf57	ENST00000346736	ENST00000346736	ENST00000586783	ENST00000586783
LINC01227				
WDR52-AS1	ENST00000498480	ENST00000498480	ENST00000498480	ENST00000498480
SART3	ENST00000228284	ENST00000228284	ENST00000228284	ENST00000228284
NEUROG1	ENSG00000181965	ENSG00000181965	ENST00000314744	ENST00000314744
KRT8P40	ENSG00000213069	ENSG00000213069	ENSG00000213069	ENSG00000213069
PARD6G	ENST00000353265	ENST00000353265	ENST00000353265	ENST00000353265
LINC01121	ENST00000454673	ENST00000454673	ENST00000454673	ENST00000454673
RPL7P35	ENSG00000233518	ENSG00000233518	ENSG00000233518	ENSG00000233518
CALML3-AS1	ENST00000543008	ENST00000543008	ENST00000543008	ENST00000543008
LINC01230				
LINC02416				
LINC02064				
RNU6-1271P	ENSG00000252858	ENSG00000252858	ENSG00000252858	ENSG00000252858
NCRNA00250				
HGF	ENST00000222390	ENST00000222390	ENST00000222390	ENST00000222390
FAM86B2	ENST00000262365	ENST00000262365	ENST00000262365	ENST00000262365
KCNJ2	ENST00000243457	ENST00000243457	ENST00000243457	ENST00000243457
DDR2	ENST00000367922	ENST00000367922	ENST00000367921	ENST00000367921
SLC38A10	ENST00000374759	ENST00000374759	ENST00000374759	ENST00000374759
RNU6-552P	ENSG00000199739	ENSG00000199739	ENSG00000199739	ENSG00000199739
ZNF259	ENST00000227322	ENST00000227322	ENST00000227322	ENST00000227322
TRMT10C	ENST00000309922	ENST00000309922	ENST00000309922	ENST00000309922
ZNF730	ENST00000597761	ENST00000597761	ENST00000597761	ENST00000597761
NECAP1	ENST00000339754	ENST00000339754	ENST00000339754	ENST00000339754
ARHGAP36	ENST00000276211	ENST00000276211	ENST00000276211	ENST00000276211
PCDHA12	ENST00000609779	ENST00000609779	ENST00000398631	ENST00000398631
PPP1R1AP2	ENSG00000261084	ENSG00000261084	ENSG00000261084	ENSG00000261084
IGHVIII-51-1	ENST00000605033	ENST00000605033	ENST00000605033	ENST00000605033
WDR3	ENST00000349139	ENST00000349139	ENST00000349139	ENST00000349139
RSPO4	ENST00000217260	ENST00000217260	ENST00000217260	ENST00000217260
BNC2-AS1				
BAG3	ENST00000369085	ENST00000369085	ENST00000369085	ENST00000369085
MAIP1			ENST00000295079	ENST00000295079
ZNRF2P1	ENSG00000237004	ENSG00000237004	ENSG00000237004	ENSG00000237004
ZNF677	ENST00000333952	ENST00000333952	ENST00000333952	ENST00000333952
AHCY	ENST00000217426	ENST00000217426	ENST00000217426	ENST00000217426
SH3BP5-AS1	ENST00000420195	ENST00000420195	ENST00000420195	ENST00000420195
C5orf42	ENST00000425232	ENST00000425232	ENST00000425232	ENST00000425232
RASSF1	ENST00000573573	ENST00000573573	ENST00000357043	ENST00000357043
MT-LIPCAR				
OR56B1	ENSG00000181023	ENSG00000181023	ENST00000317121	ENST00000317121
FGD6	ENST00000343958	ENST00000343958	ENST00000343958	ENST00000343958
GABARAPL2	ENST00000037243	ENST00000037243	ENST00000037243	ENST00000037243
TAS2R18	ENST00000572038	ENST00000572038	ENST00000572038	ENST00000572038
DUX4L26				
GPR155	ENST00000392552	ENST00000392552	ENST00000295500	ENST00000295500
PXT1	ENSG00000179165	ENSG00000179165	ENST00000454782	ENST00000454782
SNORD111B	ENSG00000221514	ENSG00000221514	ENSG00000221514	ENSG00000221514
MUC20	ENST00000447234	ENST00000447234	ENST00000447234	ENST00000447234
ASXL3	ENST00000269197	ENST00000269197	ENST00000269197	ENST00000269197
SNRK-AS1	ENSG00000234617	ENSG00000234617	ENSG00000234617	ENSG00000234617
CYP2T2P	ENSG00000233622	ENSG00000233622	ENSG00000233622	ENSG00000233622
RNU6-222P	ENST00000603442	ENST00000603442	ENST00000603442	ENST00000603442
LINC01355				
SCARNA7	ENSG00000238741	ENSG00000238741	ENSG00000238741	ENSG00000238741
CCDC90AP1				
RPL36AP38				
RNA5SP376	ENSG00000212251	ENSG00000212251	ENSG00000212251	ENSG00000212251
LINC00838	ENSG00000261683	ENSG00000261683	ENSG00000261683	ENSG00000261683
C1orf54	ENST00000578531	ENST00000578531	ENST00000369099	ENST00000369099
TRAJ56	ENSG00000211835	ENSG00000211835	ENSG00000211835	ENSG00000211835
MTND5P39				
NPHP3	ENST00000337331	ENST00000337331	ENST00000337331	ENST00000337331
RN7SKP25	ENSG00000199319	ENSG00000199319	ENSG00000199319	ENSG00000199319
LINC02439				
PLOD3	ENST00000223127	ENST00000223127	ENST00000223127	ENST00000223127
CRACR2B			ENST00000525077	ENST00000525077
GYG1	ENST00000345003	ENST00000345003	ENST00000345003	ENST00000345003
MIR29A	ENST00000579235	ENST00000579235	ENST00000579235	ENST00000579235
BRWD3	ENST00000373275	ENST00000373275	ENST00000373275	ENST00000373275
MIR339	ENSG00000199023	ENSG00000199023	ENSG00000199023	ENSG00000199023
RNU6-946P	ENSG00000206605	ENSG00000206605	ENSG00000206605	ENSG00000206605
TFDP1	ENST00000375370	ENST00000375370	ENST00000375370	ENST00000375370
PVRL4	ENST00000368012	ENST00000368012	ENST00000368012	ENST00000368012
DYNLL1P1	ENST00000380761	ENST00000380761	ENST00000380761	ENST00000380761
RNU6-1033P	ENSG00000251771	ENSG00000251771	ENSG00000251771	ENSG00000251771
MED19	ENST00000337672	ENST00000337672	ENST00000337672	ENST00000337672
TRR-ACG2-3				
RPS26P19				
RPLP0P5				
APOBEC3AP1	ENSG00000248822	ENSG00000248822	ENSG00000248822	ENSG00000248822
LINC02365				
RPL6P29	ENSG00000236243	ENSG00000236243	ENSG00000236243	ENSG00000236243
PAAF1	ENST00000310571	ENST00000310571	ENST00000310571	ENST00000310571
HBQ1	ENSG00000086506	ENSG00000086506	ENST00000199708	ENST00000199708
GOLGA7B	ENST00000370602	ENST00000370602	ENST00000370602	ENST00000370602
BLOC1S6	ENST00000220531	ENST00000220531	ENST00000220531	ENST00000220531
FRA10A				
HMGB1P1	ENSG00000124097	ENSG00000124097	ENSG00000124097	ENSG00000124097
RPL36P3				
MIR511-2	ENSG00000207938	ENSG00000207938	ENSG00000207938	ENSG00000207938
VEZF1	ENST00000581208	ENST00000581208	ENST00000581208	ENST00000581208
OTUD5	ENST00000597676	ENST00000597676	ENST00000156084	ENST00000156084
OR1E3	ENST00000575608	ENST00000575608	ENST00000575608	ENST00000575608
LINC01264				
CFAP61			ENST00000245957	ENST00000245957
IGKV3D-34	ENSG00000253501	ENSG00000253501	ENSG00000253501	ENSG00000253501
RECQL5	ENST00000317905	ENST00000317905	ENST00000317905	ENST00000317905
MRPL46	ENST00000312475	ENST00000312475	ENST00000312475	ENST00000312475
COX5AP1				
MFSD13B				
MIR4499	ENSG00000263978	ENSG00000263978	ENSG00000263978	ENSG00000263978
NCOR1P1	ENST00000478176	ENST00000478176	ENST00000478176	ENST00000478176
C3orf70	ENSG00000187068	ENSG00000187068	ENST00000335012	ENST00000335012
NIN	ENST00000382041	ENST00000382041	ENST00000382041	ENST00000382041
CICP10	ENST00000575956	ENST00000575956	ENST00000575956	ENST00000575956
MGAT2	ENSG00000168282	ENSG00000168282	ENST00000305386	ENST00000305386
TYSND1	ENST00000287078	ENST00000287078	ENST00000287078	ENST00000287078
RNU7-82P				
ENTPD1	ENST00000371207	ENST00000371207	ENST00000371205	ENST00000371205
ACMG				
SIGLEC17P	ENST00000341811	ENST00000341811	ENST00000341811	ENST00000341811
COQ6	ENST00000334571	ENST00000334571	ENST00000334571	ENST00000334571
CYP11B1	ENST00000292427	ENST00000292427	ENST00000292427	ENST00000292427
RPL17P33	ENSG00000243844	ENSG00000243844	ENSG00000243844	ENSG00000243844
MIPEP	ENST00000382172	ENST00000382172	ENST00000382172	ENST00000382172
IGKV3-34	ENSG00000253860	ENSG00000253860	ENSG00000253860	ENSG00000253860
IGKC	ENSG00000211592	ENSG00000211592	ENSG00000211592	ENSG00000211592
NRGN	ENST00000284292	ENST00000284292	ENST00000284292	ENST00000284292
TLE7				
RPS6P12	ENSG00000233309	ENSG00000233309	ENSG00000233309	ENSG00000233309
RNU6-930P	ENSG00000212240	ENSG00000212240	ENSG00000212240	ENSG00000212240
CYP51A1P1	ENSG00000241095	ENSG00000241095	ENSG00000241095	ENSG00000241095
TRN-GTT8-1				
ZNF606	ENST00000341164	ENST00000341164	ENST00000341164	ENST00000341164
RNF130	ENST00000521389	ENST00000521389	ENST00000521389	ENST00000521389
LRRC49	ENST00000560369	ENST00000560369	ENST00000260382	ENST00000260382
RNU6-1135P	ENSG00000223015	ENSG00000223015	ENSG00000223015	ENSG00000223015
VTRNA2-2P	ENSG00000251900	ENSG00000251900	ENSG00000251900	ENSG00000251900
MLECP1				
RPL10P3	ENSG00000230734	ENSG00000230734	ENSG00000230734	ENSG00000230734
KLF17P1	ENSG00000258316	ENSG00000258316	ENSG00000258316	ENSG00000258316
DCTN5	ENST00000300087	ENST00000300087	ENST00000300087	ENST00000300087
NKX2-1	ENST00000354822	ENST00000354822	ENST00000498187	ENST00000354822
RPL21P136				
RPL39P14				
TRF-GAA1-3				
ZNF301				
RPS12P6				
RPL34P25				
PPP1R16A	ENST00000292539	ENST00000292539	ENST00000292539	ENST00000292539
MAGIX	ENST00000412696	ENST00000412696	ENST00000595224	ENST00000595224
BABAM1	ENST00000359435	ENST00000359435	ENST00000359435	ENST00000359435
TREX1	ENST00000422277	ENST00000422277	ENST00000625293	ENST00000625293
LINC02114				
AP5B1	ENSG00000254470	ENSG00000254470	ENST00000532090	ENST00000532090
ERV9-1				
LINC01821				
MIR8075				
MTCO3P8				
MUL1	ENSG00000090432	ENSG00000090432	ENST00000264198	ENST00000264198
SSTR2	ENST00000357585	ENST00000357585	ENST00000357585	ENST00000357585
RPL30P1	ENST00000488676	ENST00000488676	ENST00000488676	ENST00000488676
HIST1H1PS2	ENSG00000224447	ENSG00000224447	ENSG00000224447	ENSG00000224447
TMEM245	ENST00000374586	ENST00000374586	ENST00000374586	ENST00000374586
TNFAIP3	ENST00000237289	ENST00000237289	ENST00000237289	ENST00000237289
EEF1AKMT4-ECE2				
RPS24P7	ENSG00000227361	ENSG00000227361	ENSG00000227361	ENSG00000227361
ANIB2				
ARRDC1-AS1				
CEACAMP4	ENSG00000230681	ENSG00000230681	ENSG00000230681	ENSG00000230681
MTDHP3				
MIR4652	ENSG00000265423	ENSG00000265423	ENSG00000265423	ENSG00000265423
SNORD19C				
HSP90AA6P	ENST00000506634	ENST00000506634	ENST00000506634	ENST00000506634
OR4A12P	ENSG00000254723	ENSG00000254723	ENSG00000254723	ENSG00000254723
PATE4	ENST00000457514	ENST00000457514	ENST00000457514	ENST00000457514
NRAV				
BPTFP1				
PROC	ENST00000234071	ENST00000234071	ENST00000234071	ENST00000234071
DNAH12	ENST00000585473	ENST00000585473	ENST00000351747	ENST00000351747
VN1R11P	ENSG00000219770	ENSG00000219770	ENSG00000219770	ENSG00000219770
TRAPPC2P8	ENSG00000225895	ENSG00000225895	ENSG00000225895	ENSG00000225895
ATP5SL	ENST00000608186	ENST00000608186	ENST00000221943	ENST00000221943
DUSP1	ENSG00000120129	ENSG00000120129	ENST00000239223	ENST00000239223
RPS27P14	ENST00000570374	ENST00000570374	ENST00000570374	ENST00000570374
RPL15P4	ENST00000451666	ENST00000451666	ENST00000451666	ENST00000451666
CCDC135	ENST00000360716	ENST00000360716	ENST00000360716	ENST00000360716
IGSF5	ENST00000380588	ENST00000380588	ENST00000380588	ENST00000380588
RFPL4AP6				
CKAP2P1				
RNU6-154P	ENST00000598791	ENST00000598791	ENST00000598791	ENST00000598791
TUBE1	ENST00000368658	ENST00000368658	ENST00000368662	ENST00000368662
PHBP20				
PIEZO1	ENST00000301015	ENST00000301015	ENST00000301015	ENST00000301015
NPM1P6	ENSG00000213881	ENSG00000213881	ENSG00000213881	ENSG00000213881
C3orf22	ENST00000318225	ENST00000318225	ENST00000318225	ENST00000318225
BMP7	ENST00000395863	ENST00000395863	ENST00000395863	ENST00000395863
UBE2E3	ENST00000410062	ENST00000410062	ENST00000392415	ENST00000392415
RNU6-942P	ENSG00000199872	ENSG00000199872	ENSG00000199872	ENSG00000199872
FRA10C				
FBXL16	ENST00000397621	ENST00000397621	ENST00000324361	ENST00000324361
MIR378A	ENSG00000199047	ENSG00000199047	ENSG00000199047	ENSG00000199047
LRRN3	ENST00000451085	ENST00000451085	ENST00000308478	ENST00000308478
LINC02225				
CICP1	ENSG00000233652	ENSG00000233652	ENSG00000233652	ENSG00000233652
FRA17B				
NIPSNAP3A	ENST00000374767	ENST00000374767	ENST00000374767	ENST00000374767
ZNF629	ENSG00000102870	ENSG00000102870	ENST00000262525	ENST00000262525
IQANK1				
IGHJ3	ENST00000604591	ENST00000604591	ENST00000604591	ENST00000604591
GLUD1P5				
CEND1	ENST00000330106	ENST00000330106	ENST00000330106	ENST00000330106
MIR6769A				
LINC01693				
RPL23AP45				
UBASH3A	ENST00000319294	ENST00000319294	ENST00000319294	ENST00000319294
GNB1L	ENST00000329517	ENST00000329517	ENST00000329517	ENST00000329517
LINC01322				
TRBV9	ENST00000569470	ENST00000569470	ENST00000569470	ENST00000569470
IPO7P2	ENSG00000225674	ENSG00000225674	ENSG00000225674	ENSG00000225674
OR6K6	ENSG00000180433	ENSG00000180433	ENST00000368144	ENST00000368144
RPL18AP4				
RNU6-277P	ENSG00000252081	ENSG00000252081	ENSG00000252081	ENSG00000252081
RBM15	ENST00000369784	ENST00000369784	ENST00000369784	ENST00000369784
AARS2	ENST00000244571	ENST00000244571	ENST00000244571	ENST00000244571
TEX52				
DUX4L23				
ARID4B	ENST00000264183	ENST00000264183	ENST00000264183	ENST00000264183
HES6	ENST00000272937	ENST00000272937	ENST00000272937	ENST00000272937
HMGB3P2	ENSG00000231470	ENSG00000231470	ENSG00000231470	ENSG00000231470
RNU6-5P	ENSG00000206965	ENSG00000206965	ENSG00000206965	ENSG00000206965
NDST4	ENST00000264363	ENST00000264363	ENST00000264363	ENST00000264363
LINC01992				
BRCA3				
SNORD59B				
XPA	ENST00000375128	ENST00000375128	ENST00000375128	ENST00000375128
ZNF550	ENST00000506609	ENST00000506609	ENST00000325134	ENST00000325134
B4GALNT4	ENST00000329962	ENST00000329962	ENST00000329962	ENST00000329962
C21orf2	ENST00000397956	ENST00000397956	ENST00000339818	ENST00000339818
TRS-AGA2-3				
TICAM2	ENST00000408996	ENST00000408996	ENST00000427199	ENST00000427199
MIR320B2	ENSG00000221406	ENSG00000221406	ENSG00000221406	ENSG00000221406
SPCS2	ENST00000263672	ENST00000263672	ENST00000263672	ENST00000263672
ZNF322P1	ENST00000375210	ENST00000375210	ENST00000375210	ENST00000375210
FGFR3P1	ENSG00000230994	ENSG00000230994	ENSG00000230994	ENSG00000230994
ALG1L11P	ENSG00000249889	ENSG00000249889	ENSG00000249889	ENSG00000249889
TRAT1	ENST00000295756	ENST00000295756	ENST00000295756	ENST00000295756
IL1RL1	ENST00000233954	ENST00000233954	ENST00000233954	ENST00000233954
CMTM7	ENST00000334983	ENST00000334983	ENST00000334983	ENST00000334983
MFSD13A			ENST00000238936	ENST00000238936
AMELY	ENST00000215479	ENST00000215479	ENST00000383036	ENST00000383036
DCTN2	ENST00000434715	ENST00000434715	ENST00000548249	ENST00000548249
PCDHGB8P	ENST00000507007	ENST00000507007	ENST00000507007	ENST00000507007
DUSP11	ENST00000272444	ENST00000272444	ENST00000272444	ENST00000272444
APH1B	ENST00000261879	ENST00000261879	ENST00000261879	ENST00000261879
ZNF326	ENST00000340281	ENST00000340281	ENST00000340281	ENST00000340281
RNA5SP318	ENSG00000252161	ENSG00000252161	ENSG00000252161	ENSG00000252161
NECTIN4			ENST00000368012	ENST00000368012
PCDHAC1	ENST00000609353	ENST00000609353	ENST00000253807	ENST00000253807
CNOT8	ENST00000517876	ENST00000517876	ENST00000285896	ENST00000285896
FAM231C	ENSG00000268991	ENSG00000268991	ENST00000600179	ENST00000600179
EPB41L2	ENST00000337057	ENST00000337057	ENST00000337057	ENST00000337057
LLGL1	ENST00000316843	ENST00000316843	ENST00000316843	ENST00000316843
MIR6787				
